 ispLEVER Classic 1.7.00.05.28.13 Fitter Report File 
Project Name,lab12
Project Path,U:\Desktop\LAB12
Project Fitted on,Thu Apr 11 06:44:31 2019

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
103,I_O,1,N8,*,LVCMOS18,Output,o_BOTRED_3_,
104,I_O,1,N10,*,LVCMOS18,Output,o_BOTRED_4_,
105,I_O,1,N12,*,LVCMOS18,Output,o_BOTRED_5_,
106,VCCIO1,-,,,,,,
107,TDO,-,,,,,,
108,VCC,-,,,,,,
109,GND,-,,,,,,
110,IN7,1,,,,,,
111,I_O,1,O12,*,LVCMOS18,Output,o_BOTRED_6_,
112,I_O,1,O10,*,LVCMOS18,Output,o_BOTRED_7_,
113,I_O,1,O8,,,,,
114,I_O,1,O6,,,,,
115,I_O,1,O4,,,,,
116,I_O,1,O2,*,LVCMOS18,Output,o_DIS3_0_,
117,IN8,1,,,,,,
118,GNDIO1,-,,,,,,
119,VCCIO1,-,,,,,,
120,I_O,1,P12,*,LVCMOS18,Output,o_DIS3_1_,
121,I_O,1,P10,*,LVCMOS18,Output,o_DIS3_2_,
122,I_O,1,P8,*,LVCMOS18,Output,o_DIS3_3_,
123,I_O,1,P6,*,LVCMOS18,Output,o_DIS3_4_,
124,I_O,1,P4,*,LVCMOS18,Output,o_DIS3_5_,
125,I_O/OE,1,P2,*,LVCMOS18,Output,o_DIS3_6_,
126,INCLK3,1,,,,,,
127,GNDIO0,-,,,,,,
128,INCLK0,0,,,,,,
129,VCC,-,,,,,,
130,I_O/OE,0,A2,*,LVCMOS18,Output,o_MIDRED_7_,
131,I_O,0,A4,*,LVCMOS18,Output,o_MIDRED_6_,
132,I_O,0,A6,*,LVCMOS18,Output,o_MIDRED_5_,
133,I_O,0,A8,*,LVCMOS18,Output,o_MIDRED_4_,
134,I_O,0,A10,*,LVCMOS18,Output,o_MIDRED_3_,
135,I_O,0,A12,*,LVCMOS18,Output,o_MIDRED_2_,
136,VCCIO0,-,,,,,,
137,GNDIO0,-,,,,,,
138,I_O,0,B2,*,LVCMOS18,Output,o_MIDRED_1_,
139,I_O,0,B4,*,LVCMOS18,Output,o_MIDRED_0_,
140,I_O,0,B6,*,LVCMOS18,Output,o_JUMBO_0_,
141,I_O,0,B8,*,LVCMOS18,Output,o_JUMBO_1_,
142,I_O,0,B10,*,LVCMOS18,Output,o_JUMBO_2_,
143,I_O,0,B12,,,,,
144,IN9,0,,,,,,
