Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
CHK: delay(0 0), type(tWHA), from(o_DIS1_3_.C ), to(o_DIS1_3_.C )
CHK: delay(200 200), type(tH), from(o_DIS1_3_.D ), to(o_DIS1_3_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS1_3_.D ), to(o_DIS1_3_.C )
MOD: delay(35 35), type(tGOi), from(o_MIDRED_7_.LH ), to(o_MIDRED_7_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_7_.OUT), to(o_MIDRED_7_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_7_.D ), to(o_MIDRED_7_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_7_.LH ), to(o_MIDRED_7_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_7_.D ), to(o_MIDRED_7_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_7_.D ), to(o_MIDRED_7_.LH )
MOD: delay(95 95), type(tSRi), from(o_DIS1_2_.AP ), to(o_DIS1_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_2_.OUT), to(o_DIS1_2_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS1_2_.C ), to(o_DIS1_2_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS1_2_.AP ), to(o_DIS1_2_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS1_2_.AP ), to(o_DIS1_2_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS1_2_.C ), to(o_DIS1_2_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS1_2_.C ), to(o_DIS1_2_.C )
CHK: delay(200 200), type(tH), from(o_DIS1_2_.D ), to(o_DIS1_2_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS1_2_.D ), to(o_DIS1_2_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS1_1_.AP ), to(o_DIS1_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_1_.OUT), to(o_DIS1_1_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS1_1_.C ), to(o_DIS1_1_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS1_1_.AP ), to(o_DIS1_1_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS1_1_.AP ), to(o_DIS1_1_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS1_1_.C ), to(o_DIS1_1_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS1_1_.C ), to(o_DIS1_1_.C )
CHK: delay(200 200), type(tH), from(o_DIS1_1_.D ), to(o_DIS1_1_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS1_1_.D ), to(o_DIS1_1_.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_7_.OUT), to(o_BOTRED_7_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_7_ ), to(o_BOTRED_7_.OUT)
MOD: delay(95 95), type(tSRi), from(o_DIS1_0_.AP ), to(o_DIS1_0_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_0_.OUT), to(o_DIS1_0_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS1_0_.C ), to(o_DIS1_0_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS1_0_.AP ), to(o_DIS1_0_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS1_0_.AP ), to(o_DIS1_0_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS1_0_.C ), to(o_DIS1_0_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS1_0_.C ), to(o_DIS1_0_.C )
CHK: delay(200 200), type(tH), from(o_DIS1_0_.D ), to(o_DIS1_0_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS1_0_.D ), to(o_DIS1_0_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS2_5_.AP ), to(o_DIS2_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_5_.OUT), to(o_DIS2_5_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS2_5_.C ), to(o_DIS2_5_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS2_5_.AP ), to(o_DIS2_5_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS2_5_.AP ), to(o_DIS2_5_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS2_5_.C ), to(o_DIS2_5_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS2_5_.C ), to(o_DIS2_5_.C )
CHK: delay(200 200), type(tH), from(o_DIS2_5_.D ), to(o_DIS2_5_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS2_5_.D ), to(o_DIS2_5_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS1_6_.AP ), to(o_DIS1_6_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_6_.OUT), to(o_DIS1_6_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS1_6_.C ), to(o_DIS1_6_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS1_6_.AP ), to(o_DIS1_6_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS1_6_.AP ), to(o_DIS1_6_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS1_6_.C ), to(o_DIS1_6_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS1_6_.C ), to(o_DIS1_6_.C )
CHK: delay(200 200), type(tH), from(o_DIS1_6_.D ), to(o_DIS1_6_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS1_6_.D ), to(o_DIS1_6_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS2_4_.AP ), to(o_DIS2_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_4_.OUT), to(o_DIS2_4_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS2_4_.C ), to(o_DIS2_4_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS2_4_.AP ), to(o_DIS2_4_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS2_4_.AP ), to(o_DIS2_4_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS2_4_.C ), to(o_DIS2_4_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS2_4_.C ), to(o_DIS2_4_.C )
CHK: delay(200 200), type(tH), from(o_DIS2_4_.D ), to(o_DIS2_4_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS2_4_.D ), to(o_DIS2_4_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS2_3_.AP ), to(o_DIS2_3_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_3_.OUT), to(o_DIS2_3_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS2_3_.C ), to(o_DIS2_3_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS2_3_.AP ), to(o_DIS2_3_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS2_3_.AP ), to(o_DIS2_3_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS2_3_.C ), to(o_DIS2_3_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS2_3_.C ), to(o_DIS2_3_.C )
CHK: delay(200 200), type(tH), from(o_DIS2_3_.D ), to(o_DIS2_3_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS2_3_.D ), to(o_DIS2_3_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS2_6_.AP ), to(o_DIS2_6_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_6_.OUT), to(o_DIS2_6_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS2_6_.C ), to(o_DIS2_6_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS2_6_.AP ), to(o_DIS2_6_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS2_6_.AP ), to(o_DIS2_6_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS2_6_.C ), to(o_DIS2_6_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS2_6_.C ), to(o_DIS2_6_.C )
CHK: delay(200 200), type(tH), from(o_DIS2_6_.D ), to(o_DIS2_6_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS2_6_.D ), to(o_DIS2_6_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS2_2_.AP ), to(o_DIS2_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_2_.OUT), to(o_DIS2_2_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS2_2_.C ), to(o_DIS2_2_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS2_2_.AP ), to(o_DIS2_2_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS2_2_.AP ), to(o_DIS2_2_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS2_2_.C ), to(o_DIS2_2_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS2_2_.C ), to(o_DIS2_2_.C )
CHK: delay(200 200), type(tH), from(o_DIS2_2_.D ), to(o_DIS2_2_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS2_2_.D ), to(o_DIS2_2_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS2_1_.AP ), to(o_DIS2_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_1_.OUT), to(o_DIS2_1_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS2_1_.C ), to(o_DIS2_1_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS2_1_.AP ), to(o_DIS2_1_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS2_1_.AP ), to(o_DIS2_1_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS2_1_.C ), to(o_DIS2_1_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS2_1_.C ), to(o_DIS2_1_.C )
CHK: delay(200 200), type(tH), from(o_DIS2_1_.D ), to(o_DIS2_1_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS2_1_.D ), to(o_DIS2_1_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS3_6_.AP ), to(o_DIS3_6_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS3_6_.OUT), to(o_DIS3_6_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS3_6_.C ), to(o_DIS3_6_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS3_6_.AP ), to(o_DIS3_6_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS3_6_.AP ), to(o_DIS3_6_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS3_6_.C ), to(o_DIS3_6_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS3_6_.C ), to(o_DIS3_6_.C )
CHK: delay(200 200), type(tH), from(o_DIS3_6_.D ), to(o_DIS3_6_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS3_6_.D ), to(o_DIS3_6_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS2_0_.AP ), to(o_DIS2_0_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_0_.OUT), to(o_DIS2_0_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS2_0_.C ), to(o_DIS2_0_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS2_0_.AP ), to(o_DIS2_0_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS2_0_.AP ), to(o_DIS2_0_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS2_0_.C ), to(o_DIS2_0_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS2_0_.C ), to(o_DIS2_0_.C )
CHK: delay(200 200), type(tH), from(o_DIS2_0_.D ), to(o_DIS2_0_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS2_0_.D ), to(o_DIS2_0_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS3_5_.AP ), to(o_DIS3_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS3_5_.OUT), to(o_DIS3_5_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS3_5_.C ), to(o_DIS3_5_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS3_5_.AP ), to(o_DIS3_5_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS3_5_.AP ), to(o_DIS3_5_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS3_5_.C ), to(o_DIS3_5_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS3_5_.C ), to(o_DIS3_5_.C )
CHK: delay(200 200), type(tH), from(o_DIS3_5_.D ), to(o_DIS3_5_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS3_5_.D ), to(o_DIS3_5_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS4_6_.AP ), to(o_DIS4_6_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS4_6_.OUT), to(o_DIS4_6_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS4_6_.C ), to(o_DIS4_6_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS4_6_.AP ), to(o_DIS4_6_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS4_6_.AP ), to(o_DIS4_6_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS4_6_.C ), to(o_DIS4_6_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS4_6_.C ), to(o_DIS4_6_.C )
CHK: delay(200 200), type(tH), from(o_DIS4_6_.D ), to(o_DIS4_6_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS4_6_.D ), to(o_DIS4_6_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS3_4_.AP ), to(o_DIS3_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS3_4_.OUT), to(o_DIS3_4_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS3_4_.C ), to(o_DIS3_4_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS3_4_.AP ), to(o_DIS3_4_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS3_4_.AP ), to(o_DIS3_4_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS3_4_.C ), to(o_DIS3_4_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS3_4_.C ), to(o_DIS3_4_.C )
CHK: delay(200 200), type(tH), from(o_DIS3_4_.D ), to(o_DIS3_4_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS3_4_.D ), to(o_DIS3_4_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS3_3_.AP ), to(o_DIS3_3_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS3_3_.OUT), to(o_DIS3_3_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS3_3_.C ), to(o_DIS3_3_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS3_3_.AP ), to(o_DIS3_3_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS3_3_.AP ), to(o_DIS3_3_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS3_3_.C ), to(o_DIS3_3_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS3_3_.C ), to(o_DIS3_3_.C )
CHK: delay(200 200), type(tH), from(o_DIS3_3_.D ), to(o_DIS3_3_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS3_3_.D ), to(o_DIS3_3_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS3_2_.AP ), to(o_DIS3_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS3_2_.OUT), to(o_DIS3_2_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS3_2_.C ), to(o_DIS3_2_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS3_2_.AP ), to(o_DIS3_2_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS3_2_.AP ), to(o_DIS3_2_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS3_2_.C ), to(o_DIS3_2_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS3_2_.C ), to(o_DIS3_2_.C )
CHK: delay(200 200), type(tH), from(o_DIS3_2_.D ), to(o_DIS3_2_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS3_2_.D ), to(o_DIS3_2_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS3_1_.AP ), to(o_DIS3_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS3_1_.OUT), to(o_DIS3_1_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS3_1_.C ), to(o_DIS3_1_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS3_1_.AP ), to(o_DIS3_1_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS3_1_.AP ), to(o_DIS3_1_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS3_1_.C ), to(o_DIS3_1_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS3_1_.C ), to(o_DIS3_1_.C )
CHK: delay(200 200), type(tH), from(o_DIS3_1_.D ), to(o_DIS3_1_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS3_1_.D ), to(o_DIS3_1_.C )
MOD: delay(95 95), type(tSRi), from(o_LED_YELLOW_1_.AP ), to(o_LED_YELLOW_1_.OUT)
MOD: delay(95 95), type(tSRi), from(o_LED_YELLOW_1_.AR ), to(o_LED_YELLOW_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_LED_YELLOW_1_.OUT), to(o_LED_YELLOW_1_.PAD)
MOD: delay(45 45), type(tCOi), from(o_LED_YELLOW_1_.C ), to(o_LED_YELLOW_1_.OUT)
CHK: delay(0 0), type(tSRW), from(o_LED_YELLOW_1_.AP ), to(o_LED_YELLOW_1_.AP )
CHK: delay(180 180), type(tSRR), from(o_LED_YELLOW_1_.AP ), to(o_LED_YELLOW_1_.C )
CHK: delay(0 0), type(tSRW), from(o_LED_YELLOW_1_.AR ), to(o_LED_YELLOW_1_.AR )
CHK: delay(180 180), type(tSRR), from(o_LED_YELLOW_1_.AR ), to(o_LED_YELLOW_1_.C )
CHK: delay(0 0), type(tWLA), from(o_LED_YELLOW_1_.C ), to(o_LED_YELLOW_1_.C )
CHK: delay(0 0), type(tWHA), from(o_LED_YELLOW_1_.C ), to(o_LED_YELLOW_1_.C )
CHK: delay(200 200), type(tH), from(o_LED_YELLOW_1_.D ), to(o_LED_YELLOW_1_.C )
CHK: delay(200 200), type(tS_PT), from(o_LED_YELLOW_1_.D ), to(o_LED_YELLOW_1_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS3_0_.AP ), to(o_DIS3_0_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS3_0_.OUT), to(o_DIS3_0_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS3_0_.C ), to(o_DIS3_0_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS3_0_.AP ), to(o_DIS3_0_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS3_0_.AP ), to(o_DIS3_0_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS3_0_.C ), to(o_DIS3_0_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS3_0_.C ), to(o_DIS3_0_.C )
CHK: delay(200 200), type(tH), from(o_DIS3_0_.D ), to(o_DIS3_0_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS3_0_.D ), to(o_DIS3_0_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS4_5_.AP ), to(o_DIS4_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS4_5_.OUT), to(o_DIS4_5_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS4_5_.C ), to(o_DIS4_5_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS4_5_.AP ), to(o_DIS4_5_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS4_5_.AP ), to(o_DIS4_5_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS4_5_.C ), to(o_DIS4_5_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS4_5_.C ), to(o_DIS4_5_.C )
CHK: delay(200 200), type(tH), from(o_DIS4_5_.D ), to(o_DIS4_5_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS4_5_.D ), to(o_DIS4_5_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS4_4_.AP ), to(o_DIS4_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS4_4_.OUT), to(o_DIS4_4_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS4_4_.C ), to(o_DIS4_4_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS4_4_.AP ), to(o_DIS4_4_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS4_4_.AP ), to(o_DIS4_4_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS4_4_.C ), to(o_DIS4_4_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS4_4_.C ), to(o_DIS4_4_.C )
CHK: delay(200 200), type(tH), from(o_DIS4_4_.D ), to(o_DIS4_4_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS4_4_.D ), to(o_DIS4_4_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS4_3_.AP ), to(o_DIS4_3_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS4_3_.OUT), to(o_DIS4_3_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS4_3_.C ), to(o_DIS4_3_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS4_3_.AP ), to(o_DIS4_3_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS4_3_.AP ), to(o_DIS4_3_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS4_3_.C ), to(o_DIS4_3_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS4_3_.C ), to(o_DIS4_3_.C )
CHK: delay(200 200), type(tH), from(o_DIS4_3_.D ), to(o_DIS4_3_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS4_3_.D ), to(o_DIS4_3_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS4_2_.AP ), to(o_DIS4_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS4_2_.OUT), to(o_DIS4_2_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS4_2_.C ), to(o_DIS4_2_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS4_2_.AP ), to(o_DIS4_2_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS4_2_.AP ), to(o_DIS4_2_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS4_2_.C ), to(o_DIS4_2_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS4_2_.C ), to(o_DIS4_2_.C )
CHK: delay(200 200), type(tH), from(o_DIS4_2_.D ), to(o_DIS4_2_.C )
